zone,Price_Plus_Expenses_USD_m2
Puerto Madero,23.88392857142857
Belgrano Chico,23.34375
Belgrano Barrancas,17.511160714285715
Palermo Chico,16.666676136363638
Palermo Hollywood,16.58653846153846
Las Cañitas,15.089897260273972
Palermo Nuevo,14.762755102040817
Palermo Soho,14.008620689655173
Belgrano C,13.167293233082706
Palermo,11.192555147058822
Retiro,10.231854838709676
Recoleta,10.072115384615385
Botánico,9.834882305194807
Núñez,9.489329268292684
Belgrano R,9.098958333333332
Belgrano,8.673894864760804
Villa Crespo,8.21875
Villa Gral. Mitre,8.020833333333334
Saavedra,7.799873737373737
Santa Rita,7.630040322580645
Villa Urquiza,7.492551010678871
Colegiales,7.467013888888889
Barrio Norte,7.226855158730159
Balvanera,7.0946637426900585
Villa Pueyrredón,7.010091145833334
Almagro,7.003372061965812
Monserrat,6.864533492822966
Villa Ortúzar,6.756756756756757
San Cristóbal,6.730769230769231
Coghlan,6.696428571428571
Paternal,6.638257575757576
Villa Devoto,6.607142857142857
Parque Chacabuco,6.57421875
Villa del Parque,6.569148936170213
Chacarita,6.5625
Parque Chas,6.448412698412699
Boedo,6.4453125
Caballito,6.342632955536182
Parque Centenario,6.3125
Flores,6.082946336429309
Villa Real,6.002906976744186
Once,5.944940476190476
Constitución,5.9375
Capital Federal,5.921052631578948
Monte Castro,5.865384615384615
Agronomía,5.861111111111111
Villa Luro,5.803571428571429
Parque Patricios,5.714285714285714
Congreso,5.714192708333334
Liniers,5.62890625
La Boca,5.531095105328377
San Telmo,5.501453488372093
Mataderos,5.4296875
Parque Avellaneda,5.347222222222222
Barracas,5.138888888888889
San Nicolás,5.091201376748252
Floresta,4.989035087719298
Versalles,4.490131578947368
Velez Sarsfield,3.863987635239567
Villa Lugano,3.699304467084639
Nueva Pompeya,
